url,name,price,rating,reviews,description,asin,manufacturer
/sspa/click?ie=UTF8&spc=MTo4NDY5MDM1MDc1MzY3MjQzOjE2NzUyNzI2Mjk6c3BfbXRmOjIwMDc4OTIwNzc5Mzk4OjowOjo&url=%2FScanSmart-Backpack-Designed-blend-function-612014%2Fdp%2FB09V1GJ7D6%2Fref%3Dsr_1_268_sspa%3Fkeywords%3Dbags%26qid%3D1675272629%26sprefix%3Dba%252Caps%252C283%26sr%3D8-268-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Wenger 17.5"" ScanSmart Laptop Backpack, 30 Litres, Black, Swiss Designed-blend of style & function, 612014","₹5,600",4.0 out of 5 stars,,,,
/PUJI-Bag-overnight-weekender-Multicolor/dp/B0B3RTVM2J/ref=sr_1_269?keywords=bags&qid=1675272629&sprefix=ba%2Caps%2C283&sr=8-269,"PUJI Travel Duffel Bag, overnight shoulder Bag, weekender carry on for women, Women's travel bags Shoulder Weekender Overnight Bag for Women, sports Gym Bag, Sports Tote Gym Bag, workout duffel bag (SIMPLE BAG)( Multicolor )",₹549,3.9 out of 5 stars,,,,
/ADISA-litres-Laptop-Backpack-Earphone/dp/B08RWCLFHY/ref=sr_1_270?keywords=bags&qid=1675272629&sprefix=ba%2Caps%2C283&sr=8-270,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs BP032 (Teal-Red),₹499,4.0 out of 5 stars,,,,
/HEROZ-Backpack-Resistant-Durable-Notebook/dp/B08BYQZYYC/ref=sr_1_271?keywords=bags&qid=1675272629&sprefix=ba%2Caps%2C283&sr=8-271,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),"₹1,499",4.3 out of 5 stars,,,,
/Aristocrat-Unisex-Oxford-Fabric-28-82L/dp/B09ZV86P4S/ref=sr_1_272?keywords=bags&qid=1675272629&sprefix=ba%2Caps%2C283&sr=8-272,Aristocrat Unisex Black Oxford Fabric 28.82L Laptop Bags,₹633,3.3 out of 5 stars,,,,
/uppercase-Backpack-1600EBP1-resistant-sustainable/dp/B0B68ZS5G1/ref=sr_1_273?keywords=bags&qid=1675272629&sprefix=ba%2Caps%2C283&sr=8-273,"uppercase Laptop Backpack 1600EBP Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls , 750 Days warranty",₹950,4.2 out of 5 stars,,,,
/Half-Moon-Travelling-Rucksack-Compartment/dp/B09WDGZ32L/ref=sr_1_274?keywords=bags&qid=1675272629&sprefix=ba%2Caps%2C283&sr=8-274,Half Moon 55 litres Travelling Laptop Bag/Rucksack Backpack for Luggage Travel Journey Trekking Hiking Bags for Men Women Boys and Girls with Laptop Compartment & Rain Cover,₹979,4.0 out of 5 stars,,,,
/American-Tourister-FS0-11-001/dp/B07S13P8BW/ref=sr_1_275?keywords=bags&qid=1675272629&sprefix=ba%2Caps%2C283&sr=8-275,American Tourister Spin 49 cms Teal Laptop Backpack,"₹1,499",4.1 out of 5 stars,,,,
/Good-Friends-Waterproof-College-Military/dp/B082DKFNKF/ref=sr_1_276?keywords=bags&qid=1675272629&sprefix=ba%2Caps%2C283&sr=8-276,Good Friends Combo Pack of Waterproof Laptop College School Bag and Digital Watches for Boys (Military Blue),₹629,3.5 out of 5 stars,,,,
/sspa/click?ie=UTF8&spc=MTo4NDY5MDM1MDc1MzY3MjQzOjE2NzUyNzI2Mjk6c3BfYnRmOjIwMDU2MTA2NzQ2NDA2OjowOjo&url=%2FCosmus-Casual-Navy-Laptop-Backpack%2Fdp%2FB08R7M639Z%2Fref%3Dsr_1_277_sspa%3Fkeywords%3Dbags%26qid%3D1675272629%26sprefix%3Dba%252Caps%252C283%26sr%3D8-277-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Cosmus ACE Casual Navy 45 cm 22 Ltr Laptop Backpack Bag,₹718,3.9 out of 5 stars,,,,
